NGSL Rank	Word	IPA	Conjugations	Synonyms	English	Russian
203	however	h?a???v?		"still; yet; nonetheless; conversely; nevertheless; though; but"	how?, in what way?	как бы ни, какой бы ни, тем не менее, однако, несмотря на это, несмотря на то, впрочем
204	area	??ri?	areas	"region; locale; quarter; zone; part; region; subject; matter; theme; district; neighborhood; part; corner; section; question; vicinity; spot; topic; field; sphere"	region, domain	"площадь, пространство, область, зона, участок, свободное пространство; район, край; ареал; ограниченное поле; сфера деятельности; поверхность; дворик ниже уровня улицы, приямок перед входом и окнами полуподвала; размах"
205	provide	pr?v?a?d	"provides; provided; providing"	"bestow; impart; give; offer; grant; present; afford; supply"	"supply, furnish; give, grant; prepare for in advance; set, make arrangements"	"снабжать, запасать, обеспечивать; доставать, предоставлять, давать; заготавливать, запасаться; прокормить, принимать меры, предусматривать; ставить условием"
206	name	n?e?m	"names; named; naming"	"nickname; call; honor; label; specify; choose; surname; label; designation; entitle; bigwig; moniker; identify; appoint; baptize; luminary; repute; character; fame; nickname; nominate; reputation; term; respectability; christen; term; propose; tag; title; appellation; celebrity; assign; renown; handle; suggest; dub; forename; brand; celebrity; star"	"word or phrase by which someone or something is called or identified, moniker; derogatory label, nickname; public impression (of a person, establishment, etc.); renowned person; authority; title, appellation"	"имя, фамилия, название, наименование; репутация; личность, выдающийся человек, великий человек; род; брань; имя существительное; пустой звук"
207	read	r??d	"reads; reading"	"recite; interpret; study; understand; deliver; scan; translate; peruse; decipher; examine; comprehend; announce; convert; comprehend; understand; study; interpret; speak"	"view written letters and convert them into words which have meaning; convert written letters into spoken words; understand, comprehend; learn; interpret"	"читать, прочесть, вычитывать; гласить, толковать, объяснять; показывать; снимать показания, считывать; изучать"
208	friend	fr??nd	friends	"ally; isolated; supporter; acquaintance; comrade; lonesome; associate; comrade; pal; colleague; lonely; buddy; helper; alone; companion"	"one who is affectionately attached to another; pal, buddy; fan, supporter; one who belongs to the same group; one who is not hostile; member of the Religious Society of Friends, Quaker"	"друг, приятельница, подруга, приятель, знакомый, товарищ, коллега, сторонник, доброжелатель; квакер"
209	month	m??n?	months		period of about 30 days or 4 weeks, 1/12 of a year, period of complete revolution of the moon around the earth (i.e. January, February, March, etc.)	месяц
210	large	l??rd?	"larger; largest"	"bulky; corpulent; heavy; significant; huge; substantial; hefty; big; tubby; overweight; huge; sizeable; great; larger; obese; fat; considerable; outsized; fat; chubby; great; copious; outsized; greater; portly; big; generous"	"great in size or quantity, big, enormous; wide; spacious; generous; bombastic, pompous; famous, well-known; important"	"большой, крупный, значительный, крупномасштабный; многочисленный; обильный, широкий, обширный; щедрый, великодушный; попутный; благоприятный"
211	business	b??zn?s	businesses	"affair; problem; commerce; dealing; dealings; transnational; thing; responsibility; firm; trade; trade; custom; sphere; issue; concern; selling; corporation; venture; affair; partnership; organization; matter; concern; topic; transaction; commercial; conglomerate; multinational; question; interest; establishment; concern; contract; industry; enterprise; occupational; corporate; production; company; subject"	"commerce, trade; matter; movements and gestures by actors in a play"	"дело, занятие, профессия; обязанность; право; коммерческая деятельность, бизнес, торговое предприятие; фирма; сделка"
212	without	w???a?t		lacking	"with none; lacking; in the absence of; besides; outside of the framework of"	без, вне, за
213	information	??nf??rm?e???n			"knowledge, intelligence, data; act of providing knowledge; formal criminal charge presented by a public officer (Law)"	информация, сведения, данные, сообщение, справки, осведомленность, жалоба, знания, донесение, обвинение
214	open	?o?p?n	"opens; opened; opening"	"candid; untie; amicable; sweeping; straight; undo; gaping; begin; unlock; amenable; launch; unlocked; uncluttered; release; honest; frank; exposed; direct; receptive; ajar; start; initiate; unguarded; unwrap; undeveloped; sincere; commence; friendly; unfasten; approachable"	"not closed; not sealed; exposed, vulnerable; honest, frank; receptive; unrestricted; spread out; accessible; available"	"открытый, раскрытый; непересеченный, открытого типа; развернутый, раскрывшийся; доступный, незанятый; непредубежденный; нерешенный; откровенный, искренний, честный; свободный от предрассудков; гостеприимный, щедрый; всем известный"
215	order	??rd?	"orders; ordered; ordering"	"enjoin; organize; categorize; array; instruction; succession; arrangement; series; buy; class; classify; harmony; peace; classification; sale; organization; categorization; requisition; association; direction; orderliness; sequence; requisition; contract; demand; edict; tranquility; purchase; instruct; tell; directive; charge; peacefulness; method; request; sort; bid; command; regulation; union; regulate; tidy; direct; sect; arrange; command; tidiness; stability; calm; request; organization; group; neatness; rank; demand"	"arrangement; instruction; command; request for something; religious group"	"порядок, последовательность; пропуск, устав, упорядоченность; расположение, исправность; хорошее физическое состояние, чистота, спокойствие; строй, государственное устройство; регламент, боевой порядок; степень, уровень; ордер, приказ; предписание, инструкция, распорядок, распоряжение, разнарядка; заказ"
